snomed_id_1	snomed_label_1	snomed_id_2	snomed_label_2	rater_A	rater_B	rater_C	rater_D	rater_E	mean_rating	CUI_1	CUI_2
415692008	Bunion	49218002	Hip pain			0.0	0.0	1.0	0.3333333333333333	C0006386	C0019559
166927002	Impaired glucose tolerance test	9414007	Impaired glucose tolerance			3.0	2.0	3.0	2.6666666666666665	C0159069	C0271650
22607003	Asbestosis	87433001	Pulmonary emphysema	1.0		2.0	1.0		1.3333333333333333	C0003949	C0034067
401004000	Peak expiratory flow rate monitoring	405720007	Allergic bronchitis	2.0	2.0	2.0			2.0	C1303042	C1260881
15662003	Senile dementia	102491009	Immobile	1.0	1.0			1.0	1.0	C0011268	C0231441
92308005	Benign neoplasm of prostate	90199006	Transurethral prostatectomy		3.0		2.0	2.0	2.333333333333333	C0154009	C0040771
193093009	Bell's palsy	267082004	Motor symptoms	2.0		0.0	2.0		1.3333333333333333	C0376175	C0426980
4855003	Retinopathy due to diabetes mellitus	313435000	Type 1 diabetes mellitus without complication	1.0	2.0			1.0	1.3333333333333333	C0011884	C0494284
56882008	Anorexia nervosa	271982007	Intentional self poisoning	1.0	2.0			0.0	1.0	C0003125	C0418261
267062003	Genitourinary symptoms	736806006	Education for contraceptive sheath	1.0	1.0	1.0			1.0	C0426317	C4544605
163542001	O/E - fetal heart heard	249039001	Quickening		0.0		2.0	1.0	1.0	C0437185	C0426034
289903006	Menopause present	57676002	Joint pain		0.0		1.0	1.0	0.6666666666666666	C0567312	C0003862
170728008	Poor visual acuity	160631001	Enjoys light exercise	0.0		0.0	0.0		0.0	C0580104	C0425270
248152002	Female	160538000	Religious affiliation			0.0	0.0	0.0	0.0	C0086287	C0682141
162567005	Family aware of diagnosis	473302008	Aware of diagnosis			3.0	3.0	1.0	2.333333333333333	C0581130	C3532772
38341003	Hypertensive disorder	414916001	Obesity			2.0	1.0	2.0	1.6666666666666667	C0020538	C0028754
397803000	Impotence	396275006	Osteoarthritis			0.0	0.0	0.0	0.0	C0242350	C0029408
21454007	Subarachnoid haemorrhage	1261007	Fracture of multiple ribs	0.0	0.0			0.0	0.0	C0038525	C0272567
271397001	Menstrual data	60241006	Female stress incontinence			0.0	0.0	0.0	0.0	C0425928	C0038437
161676006	H/O: artificial eye lens	84494001	Open-angle glaucoma	2.0	1.0	3.0			2.0	C0455651	C0017612
23260002	Fibroadenosis of breast	266578003	Solitary cyst of breast		2.0		1.0	2.0	1.6666666666666667	C1305875	C0037619
161570007	H/O: back problem	161480008	H/O: epilepsy		0.0		0.0	0.0	0.0	C0455574	C0455511
40468003	Viral hepatitis, type A	128241005	Inflammatory disease of liver	2.0	1.0			3.0	2.0	C0019159	C0019158
134377004	Atrial fibrillation monitoring	170600009	Stroke monitoring			3.0	2.0	2.0	2.333333333333333	C1276351	C0451605
129035000	Independent with dressing	30994003	Glucose measurement, urine	0.0	0.0			0.0	0.0	C0429966	C0004076
271594007	Syncope	267031002	Tiredness symptom	1.0		0.0	0.0		0.3333333333333333	C0039070	
418019003	Accidental event	39848009	Whiplash injury to neck	3.0		2.0	2.0		2.333333333333333	C1690974	C0043145
272027003	C/O - a headache	37796009	Migraine	3.0	3.0			2.0	2.6666666666666665	C0439024	C0149931
397803000	Impotence	201101007	Actinic keratosis	0.0		0.0	0.0		0.0	C0242350	C0022602
56317004	Alopecia	249307003	Nasal symptom		0.0		0.0	0.0	0.0	C0002170	C0231918
61462000	Malaria	4834000	Typhoid fever			1.0	1.0	1.0	1.0	C0024530	C0041466
80146002	Appendicectomy	86481000	Laparotomy			3.0	2.0	1.0	2.0	C0003611	C0023038
254671003	Infection of sebaceous cyst	416675009	Furuncle			1.0	2.0	2.0	1.6666666666666667	C0345989	C0242301
161504004	H/O: angina pectoris	275543009	H/O: vertigo			0.0	0.0	0.0	0.0	C0455530	C0559156
372064008	Malignant neoplasm of female breast	94222008	Secondary malignant neoplasm of bone	3.0	3.0	3.0			3.0	C0235653	C0153690
161469008	H/O: depression	225706007	Interpersonal relationship finding	1.0		1.0	2.0		1.3333333333333333	C0455503	C0558233
171056002	Pregnancy exercise education	171057006	Pregnancy alcohol education			2.0	2.0	0.0	1.3333333333333333	C0418869	C0418870
31975004	Fracture of scaphoid bone of wrist	208394006	Closed fracture of metacarpal bone		0.0		2.0	0.0	0.6666666666666666	C0272654	C0159776
703938007	Inflammatory dermatosis	198436008	Menopausal flushing	0.0	0.0	0.0			0.0	C3875321	C0600142
34337008	Prolactinoma	237662005	Hyperprolactinaemia			3.0	2.0	3.0	2.6666666666666665	C0033375	C0020514
19824006	Infection of skin and/or subcutaneous tissue	267105001	C/O: itching		1.0		2.0	2.0	1.6666666666666667	C0037278	C0436563
247358007	Type of abdominal pain	237037006	Acute pelvic inflammatory disease	2.0		2.0	2.0		2.0	C0423653	C0149959
62315008	Diarrhoea	9991008	Abdominal colic	1.0		2.0	1.0		1.3333333333333333	C0011991	C0232488
162120004	Control of micturition normal	170874002	Urinary disorder monitoring		2.0		2.0	1.0	1.6666666666666667	C0426368	C0419940
161894002	C/O - low back pain	279039007	Low back pain		3.0		3.0	3.0	3.0	C0436551	C0024031
310436000	Wheeze absent	161922009	No cough	1.0		2.0	2.0		1.6666666666666667	C0587952	C0425502
386808001	Phobia	409073007	Education		1.0		0.0	1.0	0.6666666666666666	C0349231	C0039401
36071006	Chondromalacia of patella	125601008	Injury of knee	2.0	2.0	2.0			2.0	C0008475	C0022744
16607004	Missed miscarriage	17369002	Miscarriage	2.0	2.0			3.0	2.333333333333333	C0000814	C0000786
279992002	Recurrent falls	185263007	Seen in geriatric clinic		1.0		2.0	2.0	1.6666666666666667	C0458990	C0559990
61462000	Malaria	36656008	Beriberi	0.0	0.0	0.0			0.0	C0024530	C0005122
722166003	Podiatry	304903009	Provision of day care	2.0		1.0	0.0		1.0	C0032331	C0729990
16531000000104	Lloyd George culled and summarised	20135006	Screening procedure	0.0	0.0			0.0	0.0		C0220908
160357008	FH: Hypertension	266894000	FH: Cardiovascular disease	2.0	1.0			2.0	1.6666666666666667	C0455405	C0455404
847261000000104	Rheumatoid arthritis annual review	698705009	Rheumatology drug monitoring	2.0	1.0	2.0			1.6666666666666667		C3698166
49218002	Hip pain	239881008	Otto's pelvis	2.0	2.0	3.0			2.333333333333333	C0019559	C0343174
162566001	Patient not aware of diagnosis	161641009	At risk of diabetes mellitus			0.0	0.0	0.0	0.0	C0581129	C0580321
370226009	Asthma treatment compliance satisfactory	708038006	Acute exacerbation of asthma	1.0	2.0	3.0			2.0	C1277171	C0347950
272033007	Deafness symptom	60862001	Tinnitus	1.0	3.0			2.0	2.0	C0439029	C0040264
228367002	Does not misuse drugs	225706007	Interpersonal relationship finding			1.0	1.0	1.0	1.0	C0556387	C0558233
267024001	Abnormal weight loss	56882008	Anorexia nervosa	2.0		3.0	2.0		2.333333333333333	C0936227	C0003125
201211000000107	Asthma trigger - emotion	340921000000103	Asthma trigger - tobacco smoke			3.0	2.0	1.0	2.0		
401183006	Asthma monitoring by doctor	771901000000100	Asthma causes night time symptoms 1 to 2 times per week	1.0	2.0	3.0			2.0	C1303158	
304253006	Not for resuscitation	251992000	Fluid intake	1.0	0.0			1.0	0.6666666666666666	C0582114	C0429791
191816009	Drug dependence	7200002	Alcoholism		1.0		2.0	2.0	1.6666666666666667	C1510472	C0001973
28030000	Twin birth	281053000	Sex of baby at delivery	2.0		1.0	1.0		1.3333333333333333	C0233365	C0419383
1022651000000100	Platelet count	1022551000000104	Neutrophil count			2.0	1.0	1.0	1.3333333333333333		
370208006	Asthma never causes daytime symptoms	754061000000100	Asthma review using Royal College of Physicians three questions	2.0	1.0			1.0	1.3333333333333333	C1277275	
198337003	Erosion and ectropion of the cervix	176820000	Curettage of uterus		1.0		2.0	2.0	1.6666666666666667		C0278320
161796007	H/O: dyspareunia	161783006	H/O: dysmenorrhoea		1.0		2.0	2.0	1.6666666666666667	C0438061	C0475168
161843009	Normal fluid intake	162258009	No incoordination	0.0	0.0	0.0			0.0	C0426594	C0427184
313296004	Mild chronic obstructive pulmonary disease	204991000000107	Suspected chronic obstructive pulmonary disease			3.0	2.0	1.0	2.0	C0730604	
113075003	Creatinine measurement, serum	104934005	Sodium measurement, serum	1.0	2.0			2.0	1.6666666666666667	C0201976	C0523891
271398006	Weight steady	162339002	Hearing normal			0.0	0.0	0.0	0.0	C0424657	C0234725
31541009	Sarcoidosis	267618008	Acute and subacute iridocyclitis	3.0	1.0	0.0			1.3333333333333333	C0036202	C0154908
271479005	Benign neoplasm of pituitary gland and craniopharyngeal duct	15771004	Diabetes insipidus	2.0	0.0			3.0	1.6666666666666667	C0347525	C0011848
405729008	Haematochezia	25458004	Acute gastritis	1.0	2.0			1.0	1.3333333333333333	C0018932	C0149518
57190000	Myopia	82649003	Astigmatism	1.0	2.0			2.0	1.6666666666666667	C0027092	C0004106
51885006	Morning sickness	14094001	Hyperemesis gravidarum	2.0		2.0	2.0		2.0	C0312416	C0020450
257786008	Cryotherapy - action	314471005	Minor surgery done	2.0		1.0	2.0		1.6666666666666667	C4551716	C1278490
72866009	Varicose veins of lower extremity	195445008	Varicose veins of the leg with ulcer	2.0		3.0	2.0		2.333333333333333	C0155778	
162001003	No cardiovascular symptom	394926003	Heart disease excluded			3.0	2.0	1.0	2.0	C0425561	C1271079
10052007	Male structure	161140009	English as a second language		0.0		0.0	0.0	0.0	C0086582	C0424920
50043002	Disorder of respiratory system	195647007	Acute respiratory infections			2.0	2.0	3.0	2.333333333333333	C0035204	C0339901
129078005	Dependent in toilet	129065005	Dependent for dressing			2.0	2.0	1.0	1.6666666666666667	C0429973	C0429964
312608009	Laceration - injury	262971000	Tendon injury - hand			2.0	2.0	1.0	1.6666666666666667	C0043246	C0434301
80182007	Irregular periods	68711006	Eructation	0.0	0.0	0.0			0.0	C0156404	C0014724
165299008	Memory: important event known	165296001	Memory: present month known	1.0	2.0			1.0	1.3333333333333333	C0423963	C0423960
91302008	Sepsis	95883001	Bacterial meningitis			3.0	2.0	2.0	2.333333333333333	C0243026	C0085437
40541001	Acute pulmonary oedema	28960008	Arteriosclerosis	1.0	0.0	0.0			0.3333333333333333	C0155919	C0003850
165307002	Memory: address recall success	165299008	Memory: important event known			3.0	2.0	1.0	2.0	C0423971	C0423963
84619001	Nongonococcal urethritis	266114001	Perianal warts	1.0	0.0	1.0			0.6666666666666666	C1112709	C0343730
414293001	Fracture of tibia AND fibula	75591007	Fracture of fibula		2.0		2.0	2.0	2.0	C0159852	C0149699
225323000	Smoking cessation education	391017004	Osteoporosis monitoring			1.0	1.0	0.0	0.6666666666666666	C1621885	C1271996
170922004	Repeat prescription monitoring	230691006	CVA - cerebrovascular accident due to cerebral artery occlusion	1.0	0.0	0.0			0.3333333333333333	C0419975	C0393951
243878006	Breast neoplasm screening status	171250001	Urine screening normal		0.0		0.0	0.0	0.0	C0421365	C0438141
201108001	Ingrowing great toenail	72047008	Osgood Schlatter disease		0.0		0.0	0.0	0.0	C0406444	C0029376
95324001	Skin lesion	63440008	Verruca plantaris			0.0	3.0	2.0	1.6666666666666667	C0037284	C0042548
267038008	Oedema	399269003	Arthropathy			0.0	0.0	0.0	0.0	C0013604	C0022408
391124000	Medical Research Council Dyspnoea scale grade 3	413845009	Chronic obstructive pulmonary disease accident and emergency attendance since last visit	1.0	2.0	3.0			2.0	C1271937	C1531626
72934000	Candidiasis of vagina	81418003	Nummular eczema	1.0	0.0			0.0	0.3333333333333333	C0006852	C0085656
367011000000100	Diabetic foot screen	473327001	Complaining of erectile dysfunction	1.0	1.0			1.0	1.0		C3532797
173422009	Tonsillectomy	80146002	Appendicectomy		0.0		1.0	0.0	0.3333333333333333	C0040423	C0003611
366241000000106	General practice physical activity questionnaire physical activity index: active	166927002	Impaired glucose tolerance test			0.0	1.0	2.0	1.0		C0159069
127294003	Traumatic AND/OR non-traumatic brain injury	83969004	Fracture of temporal bone		2.0		2.0	2.0	2.0	C1456496	C0272461
272034001	C/O nasal congestion	82272006	Common cold	2.0	2.0			2.0	2.0	C0439030	C0009443
366171000000107	General practice physical activity questionnaire physical activity index: moderately inactive	160593006	Alcohol intake within recommended sensible limits			0.0	1.0	1.0	0.6666666666666666		C0560220
49049000	Parkinson's disease	267038008	Oedema	0.0	0.0	0.0			0.0	C0030567	C0013604
24369008	Pulmonary sarcoidosis	32861005	Erythema nodosum			2.0	2.0	2.0	2.0	C0036205	C0014743
150811000119101	Contraception care education done	161481007	H/O: migraine	1.0	0.0	1.0			0.6666666666666666	C3839373	C0455512
40541001	Acute pulmonary oedema	230690007	Cerebrovascular accident	1.0	1.0	0.0			0.6666666666666666	C0155919	C0038454
248596009	Sputum - symptom	195967001	Asthma	1.0	1.0	2.0			1.3333333333333333	C0425512	C0004096
269716005	Accident caused by machinery	266993007	H/O: CNS disorder	0.0	0.0			1.0	0.3333333333333333	C0261712	C0455508
61462000	Malaria	36188001	Shigellosis		1.0		1.0	1.0	1.0	C0024530	C0013371
160303001	FH: Diabetes mellitus	266894000	FH: Cardiovascular disease	1.0		2.0	0.0		1.0	C1313937	C0455404
48499001	Increased body mass index	24029004	Bowels: fully continent	0.0		0.0	0.0		0.0	C0231254	C0429956
16331000	Heartburn	32644009	Braxton Hicks contractions	1.0	0.0			0.0	0.3333333333333333	C0018834	C0233187
391126003	Medical Research Council Dyspnoea scale grade 5	195951007	Acute exacerbation of chronic obstructive airways disease			2.0	2.0	3.0	2.333333333333333	C1271939	C0340044
46866001	Fracture of lower limb	23406007	Fracture of upper limb	1.0		1.0	1.0		1.0	C1542178	C0178316
271951008	Crying associated with mood	55929007	Feeling irritable			2.0	2.0	1.0	1.6666666666666667	C0424109	C0022107
19429009	Chronic ulcer of skin	267038008	Oedema		0.0		0.0	0.0	0.0	C0157738	C0013604
58759008	Intertrigo	25674000	Lichen sclerosus et atrophicus	1.0	1.0	0.0			0.6666666666666666	C0021807	C0023652
22220005	Genuine stress incontinence	87557004	Urge incontinence of urine			2.0	2.0	0.0	1.3333333333333333	C0042025	C0150045
30994003	Glucose measurement, urine	185349003	Encounter for check up	1.0	1.0			1.0	1.0	C0004076	C0422303
391095006	H/O: fracture	12676007	Fracture of radius		3.0		2.0	3.0	2.6666666666666665	C1272071	C0034628
37389005	Biliary colic	235919008	Gallstone	2.0	2.0			1.0	1.6666666666666667	C0151824	C0947622
196075003	Pleurisy	60046008	Pleural effusion		3.0		2.0	2.0	2.333333333333333	C0032231	C0032227
17328006	Flow of urine	139394000	Nocturia		2.0		1.0	1.0	1.3333333333333333	C0232851	C0028734
161869003	Not tired	267036007	Dyspnoea	1.0	0.0			0.0	0.3333333333333333	C0424583	C0013404
161140009	English as a second language	118212000	Parity finding		0.0		0.0	0.0	0.0	C0424920	C0030563
162290004	Dry eyes	23986001	Glaucoma		2.0		1.0	1.0	1.3333333333333333	C0314719	C0017601
9014002	Psoriasis	33339001	Psoriasis with arthropathy		3.0		3.0	3.0	3.0	C0033860	C0003872
52073004	Oligomenorrhoea	237055002	Polycystic ovary syndrome	1.0	2.0	3.0			2.0	C0028949	C0032460
161719001	Wishes to postpone menstruation	63951004	Miliaria			0.0	0.0	0.0	0.0	C0438641	C0026113
57406009	Carpal tunnel syndrome	1539003	Acquired trigger finger			1.0	1.0	2.0	1.3333333333333333	C0007286	C3887597
418399005	Motor vehicle accident	39848009	Whiplash injury to neck	1.0	3.0	2.0			2.0	C2939181	C0043145
35425004	Normal body mass index	167273002	Urine protein test negative			0.0	0.0	0.0	0.0	C0231253	C0427722
51440002	Right and left	17293009	Bilateral segmental vasectomy and ligation		0.0		2.0	1.0	1.0	C0238767	C0403289
57054005	Acute myocardial infarction	195080001	Atrial fibrillation and flutter	1.0		2.0	2.0		1.6666666666666667	C0155626	C0155709
18973006	Uterovaginal prolapse	76742009	Postmenopausal bleeding			2.0	1.0	0.0	1.0	C0156353	C0032776
160538000	Religious affiliation	160245001	No current problems or disability			0.0	0.0	0.0	0.0	C0682141	C0422835
394702007	Chronic obstructive pulmonary disease follow-up	401201003	Cigarette pack-years			3.0	1.0	1.0	1.6666666666666667	C1273971	C1303175
171434007	Health promotion	162879003	Height and weight	1.0	1.0			2.0	1.3333333333333333	C0018738	C0424638
310436000	Wheeze absent	390891009	Chronic obstructive pulmonary disease monitoring	1.0		2.0	2.0		1.6666666666666667	C0587952	C1272221
418019003	Accidental event	39848009	Whiplash injury to neck	3.0	2.0			1.0	2.0	C1690974	C0043145
247893006	Pathological guilt	249468005	Anorexia symptom	2.0	1.0			0.0	1.0	C0424220	C0426579
24029004	Bowels: fully continent	167261002	Urine glucose test negative			0.0	0.0	0.0	0.0	C0429956	C0427744
419760006	Bacterial vaginosis	237084006	Chlamydial cervicitis	1.0		1.0	2.0		1.3333333333333333	C0085166	C0341834
171207006	Depression screening	401201003	Cigarette pack-years	1.0	1.0	0.0			0.6666666666666666	C0740218	C1303175
43364001	Abdominal discomfort	249366005	Bleeding from nose			0.0	0.0	0.0	0.0	C0232487	C0014591
171247004	Urine screening for protein	171209009	Tobacco usage screening			0.0	0.0	0.0	0.0	C0262923	C0420033
414293001	Fracture of tibia AND fibula	214031005	Motor vehicle traffic accident	1.0	2.0	2.0			1.6666666666666667	C0159852	C2939181
53881005	Gravida 0	161772002	H/O: oral contraceptive usage		1.0		1.0	1.0	1.0	C0232995	C0438046
237101004	Leukorrhoea	61253004	Erosion of cervix	2.0		1.0	0.0		1.0	C0023533	C0007869
161497002	H/O: hearing problem	161486002	H/O: eye disorder	1.0	1.0			0.0	0.6666666666666666	C0455524	C0455515
263225007	Fracture of proximal end of femur	306171000000106	Fragility fracture			2.0	2.0	2.0	2.0	C0435805	
340911000000109	Asthma trigger - pollen	201191000000108	Asthma trigger - cold air			3.0	2.0	1.0	2.0		
172630005	Syringing ear to remove wax	164226003	O/E - wax in auditory canal		2.0		2.0	3.0	2.333333333333333	C0395669	C0437678
9713002	Prostatitis	198057005	Male genital organ vascular diseases			0.0	1.0	1.0	0.6666666666666666	C0033581	C0042374
398838000	Senile hyperkeratosis	112681002	Intradermal naevus	1.0	1.0			1.0	1.0	C4282032	C0206737
7093002	Renal colic	95566004	Urolithiasis	3.0	3.0			3.0	3.0	C0152169	C0451641
122481008	Hammer toe	65358001	Acquired hallux valgus		2.0		1.0	1.0	1.3333333333333333	C1136179	C0158458
56267009	Multi-infarct dementia	304253006	Not for resuscitation			2.0	2.0	0.0	1.3333333333333333	C0011263	C0582114
373899003	Asthma daytime symptoms	170638008	Asthma not limiting activities	1.0	1.0			1.0	1.0	C1276804	C0421214
249181000000100	Dementia annual review	78459008	Double incontinence		0.0		1.0	1.0	0.6666666666666666		C0401155
150811000119101	Contraception care education done	408968008	Contraception care education	2.0		2.0	2.0		2.0	C3839373	C1443484
17741008	Acute tonsillitis	53726008	Acute conjunctivitis		0.0		1.0	1.0	0.6666666666666666	C0001361	C0155141
16207008	Postmature infancy	47340003	Birth weight finding	1.0	1.0			1.0	1.0	C0021293	C0005612
391019001	Follow-up osteoporosis assessment	391026001	Osteoporosis exercise education	2.0	1.0	3.0			2.0	C1271998	C1272005
366979004	Depressed mood	134420004	No suicidal thoughts			2.0	2.0	2.0	2.0	C0344315	C1276357
263225007	Fracture of proximal end of femur	217082002	Accidental fall	1.0	2.0			1.0	1.3333333333333333	C0435805	C0000921
36989005	Mumps	78580004	Mumps orchitis		2.0		3.0	2.0	2.333333333333333	C0026780	C0153091
314550003	H/O: deliberate self harm	161466001	H/O: alcoholism	2.0	1.0	3.0			2.0	C1277575	C0455500
202882003	Plantar fasciitis	161829004	Weight symptom	0.0	1.0			1.0	0.6666666666666666	C0149756	C0424653
401081006	Diabetic peripheral neuropathy screening	394683006	Diabetic foot risk assessment			2.0	2.0	3.0	2.333333333333333	C1303091	C1273960
33449004	Personality disorder	61372001	Aggressive behaviour		2.0		2.0	1.0	1.6666666666666667	C0031212	C0001807
13616008	Superficial injury of eye AND/OR adnexa	75229002	Hyphaema		3.0		2.0	1.0	2.0	C0160906	C0020581
34649000	Closed fracture of malar AND/OR maxillary bones	81639003	Closed fracture of nasal bones	2.0	2.0			1.0	1.6666666666666667	C0009045	C0159322
169812000	Place of birth	169644004	Feeding intention - bottle	1.0		0.0	0.0		0.3333333333333333	C0032040	C0420930
170608002	Initial respiratory assessment	268511007	Respiratory disease monitoring	1.0	1.0	2.0			1.3333333333333333	C0419831	C0421217
37869000	Chilblains	266261006	Raynaud's phenomenon	2.0	1.0	2.0			1.6666666666666667	C0008058	C0034735
41446000	Blepharitis	309779001	Meibomianitis	2.0	3.0	2.0			2.333333333333333	C0005741	C0549398
168393006	General pathology	1028271000000109	Albumin/creatinine ratio	1.0		0.0	1.0		0.6666666666666666	C0420637	
165233007	Bladder: occasional accident	161825005	Appetite normal	0.0		0.0	0.0		0.0	C0429961	C0426578
387713003	Surgical procedure	307999008	Diathermy of skin lesion			0.0	2.0	1.0	1.0	C0543467	C0585859
36456004	Mental state finding	162465004	Symptom severity	0.0	1.0	0.0			0.3333333333333333	C0278060	C1319166
163542001	O/E - fetal heart heard	167583002	Urine microalbumin negative	1.0	0.0	0.0			0.3333333333333333	C0437185	C0564623
171074006	Requires protection against malaria	171044003	Immunisation education	3.0		1.0	2.0		2.0	C0580963	C0543391
160377001	Family history of asthma	160341008	FH: Epilepsy	1.0	1.0	0.0			0.6666666666666666	C1261327	C0455392
169909004	Apgar at 5 minutes	169644004	Feeding intention - bottle		0.0		1.0	0.0	0.3333333333333333	C0426291	C0420930
277766008	Awareness of heart beat	289903006	Menopause present			0.0	0.0	0.0	0.0	C0476258	C0567312
1022651000000100	Platelet count	1022561000000101	Eosinophil count	1.0		2.0	2.0		1.6666666666666667		
12063002	Rectal haemorrhage	102570003	Inguinal pain	1.0	2.0	1.0			1.3333333333333333	C0267596	C0239783
185201007	Site of encounter	313334002	Blood sample taken	3.0	1.0	0.0			1.3333333333333333	C0422262	C1277698
275552000	H/O: kidney disease	267004000	H/O: musculoskeletal disease	1.0		0.0	0.0		0.3333333333333333	C0455686	C0559112
85005007	Cannabis dependence	231480002	Opium dependence			2.0	1.0	1.0	1.3333333333333333	C0006870	C0338777
267954009	Arthralgia of the ankle and/or foot	58759008	Intertrigo			0.0	0.0	0.0	0.0	C0423658	C0021807
64859006	Osteoporosis	306171000000106	Fragility fracture	2.0	2.0			2.0	2.0	C0029456	
163133003	Abdomen examined - NAD	79922009	Epigastric pain	1.0	2.0	1.0			1.3333333333333333	C0438122	C0232493
65568007	Cigarette smoker	160573003	Alcohol intake		1.0		1.0	0.0	0.6666666666666666	C0337667	C0001948
366344009	Place of birth - finding	16207008	Postmature infancy		0.0		1.0	1.0	0.6666666666666666	C1287865	C0021293
247753000	Loss of interest	301026000	Loss of confidence		1.0		2.0	1.0	1.3333333333333333	C0424091	C0549257
79883001	Cyst of ovary	703145006	Sterilisation procedure	1.0	1.0	1.0			1.0	C0029927	C3839105
723245007	Number of chronic obstructive pulmonary disease exacerbations in past year	413845009	Chronic obstructive pulmonary disease accident and emergency attendance since last visit		2.0		2.0	2.0	2.0	C1532394	C1531626
85848002	Corneal abrasion	88151007	Keratoconjunctivitis		2.0		2.0	2.0	2.0	C0010032	C0022573
193462001	Insomnia	40541001	Acute pulmonary oedema	0.0		0.0	0.0		0.0	C0917801	C0155919
262971000	Tendon injury - hand	208393000	Fracture of metacarpal bone	1.0		2.0	2.0		1.6666666666666667	C0434301	C0272677
82271004	Injury of head	91175000	Seizure	3.0	2.0			3.0	2.6666666666666665	C0018674	C0036572
10588007	Perinatal death	41114007	Mild pre-eclampsia	2.0	2.0	2.0			2.0	C0701826	C0269658
381441000000103	Contact with family	161825005	Appetite normal		0.0		0.0	0.0	0.0		C0426578
162147009	C/O pelvic pain	278040002	Loss of hair	0.0		0.0	0.0		0.0	C0436555	C0002170
300955002	Pain in thumb	10601006	Pain in lower limb			0.0	0.0	0.0	0.0	C0241394	C0023222
62507009	Pins and needles	161829004	Weight symptom			0.0	0.0	0.0	0.0	C0423572	C0424653
236886002	Hysterectomy	285636001	Cervical intraepithelial neoplasia			3.0	1.0	2.0	2.0	C0020699	C0206708
24623002	Screening mammography	168749009	Mammography normal		3.0		2.0	3.0	2.6666666666666665	C0203028	C0436449
219223005	Stabbed in fight	36118008	Pneumothorax		3.0		2.0	3.0	2.6666666666666665	C0418248	C0032326
719232003	Difficulty walking	135875009	Stroke prevention		1.0		0.0	0.0	0.3333333333333333	C0311394	C1277289
161033005	Social history baseline	224164009	Financial circumstances	2.0		2.0	2.0		2.0	C0424975	C0557159
16490003	Anorectal continence	49919000	Home safety education	0.0	0.0	0.0			0.0	C1290944	C0204944
86466006	Rheumatic mitral stenosis	87648004	Chronic rheumatic heart disease	2.0		2.0	2.0		2.0	C0264766	C0175708
162147009	C/O pelvic pain	80182007	Irregular periods	2.0	2.0			3.0	2.333333333333333	C0436555	C0156404
775721000000109	United Kingdom medical eligibility criteria for contraceptive use 2009 category 1	394707001	No history of migraine		1.0		1.0	2.0	1.3333333333333333		C1271043
